name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing,big_club,age_cat
Salomon Rondon,West+Brom,27,CF,1,15.0,502,118,3.0,Venezuela,0,19,0,0,3
Daley Blind,Manchester+United,27,LB,3,22.0,867,98,2.0,Netherlands,0,12,0,1,3
Daryl Janmaat,Watford,27,RB,3,7.0,242,50,2.0,Netherlands,0,18,1,0,3
Junior Stanislas,Bournemouth,27,LW,1,4.5,315,107,1.0,England,0,2,0,0,3
Gylfi Sigurdsson,Swansea,27,AM,1,25.0,861,181,2.0,Iceland,0,16,0,0,3
Isaac Success,Watford,21,LW,1,4.0,474,28,4.0,Nigeria,0,18,1,0,1
Jake Livermore,West+Brom,27,DM,2,7.0,564,77,1.0,England,0,19,0,0,3
Nemanja Matic,Chelsea,28,DM,2,35.0,892,105,2.0,Serbia,0,5,0,1,4
Gabriel Paulista,Arsenal,26,CB,3,13.0,552,45,3.0,Brazil,0,1,0,1,3
James Milner,Liverpool,31,CM,2,12.0,1824,139,1.0,England,0,10,0,1,4
Danny Rose,Tottenham,27,LB,3,28.0,848,84,1.0,England,0,17,0,1,3
Luke Shaw,Manchester+United,22,LB,3,20.0,947,45,1.0,England,0,12,0,1,2
Tom Davies,Everton,19,CM,2,8.0,1354,63,1.0,England,0,7,0,0,1
Marc Albrighton,Leicester+City,27,LM,2,6.0,347,95,1.0,England,0,9,0,0,3
Rob Elliot,Newcastle+United,31,GK,4,1.0,134,0,2.0,Ireland,0,13,0,0,4
Mauro Zarate,Watford,30,SS,1,2.0,473,8,3.0,Argentina,0,18,0,0,4
Kelechi Iheanacho,Manchester+City,20,CF,1,15.0,1662,52,4.0,Nigeria,0,11,0,1,1
Connor Goldson,Brighton+and+Hove,24,CB,3,0.75,52,0,1.0,England,0,3,0,0,2
Bojan KrkiÄ‡,Stoke+City,26,SS,1,5.0,1325,30,2.0,Spain,0,15,0,0,3
Demarai Gray,Leicester+City,21,LW,1,9.0,593,58,1.0,England,0,9,0,0,1
Michael Hefele,Huddersfield,26,CB,3,1.5,116,0,2.0,Germany,0,8,0,0,3
Sam Baldock,Brighton+and+Hove,28,CF,1,3.0,204,0,1.0,England,0,3,0,0,4
Fraser Forster,Southampton,29,GK,4,15.0,548,134,1.0,England,0,14,0,0,4
Cedric Soares,Southampton,25,RB,3,15.0,338,102,2.0,Portugal,0,14,0,0,3
Jack Butland,Stoke+City,24,GK,4,15.0,402,20,1.0,England,0,15,0,0,2
Jeremy Pied,Southampton,28,RM,2,3.5,136,5,2.0,France,0,14,1,0,4
James McCarthy,Everton,26,CM,2,15.0,306,23,2.0,Ireland,0,7,0,0,3
Mohamed Elneny,Arsenal,25,DM,2,10.0,683,26,4.0,Egypt,0,1,0,1,3
Claudio Yacob,West+Brom,30,DM,2,4.0,165,54,3.0,Argentina,0,19,0,0,4
Vincent Kompany,Manchester+City,31,CB,3,22.0,935,57,2.0,Belgium,0,11,0,1,4
Julian Speroni,Crystal+Palace,38,GK,4,0.25,188,0,3.0,Argentina,0,6,0,0,6
Adam Smith,Bournemouth,26,RB,3,5.0,200,104,1.0,England,0,2,0,0,3
Yohan Benalouane,Leicester+City,30,CB,3,1.0,305,27,4.0,Tunisia,0,9,0,0,4
Eduardo Carvalho,Chelsea,34,LW,1,0.05,467,0,2.0,Portugal,0,5,1,1,6
Jamie Murphy,Brighton+and+Hove,27,LW,1,1.75,114,0,2.0,Scotland,0,3,0,0,3
Hugo Lloris,Tottenham,30,GK,4,24.0,847,143,2.0,France,0,17,0,1,4
Yaya Toure,Manchester+City,34,CM,2,8.0,2318,86,4.0,Cote d'Ivoire,0,11,0,1,6
Ben Davies,Tottenham,24,LB,3,12.0,396,90,2.0,Wales,0,17,0,1,2
Glen Johnson,Stoke+City,32,RB,3,5.0,512,56,1.0,England,0,15,0,0,5
Wilfred Ndidi,Leicester+City,20,DM,2,14.0,821,59,4.0,Nigeria,0,9,1,0,1
Tom Heaton,Burnley,31,GK,4,4.0,717,149,1.0,England,0,4,0,0,4
Daniel Sturridge,Liverpool,27,CF,1,20.0,2042,54,1.0,England,0,10,0,1,3
Sheyi Ojo,Liverpool,20,LW,1,2.0,383,0,1.0,England,0,10,0,1,1
Jason McCarthy,Southampton,21,CB,3,0.25,53,0,1.0,England,0,14,0,0,1
Åukasz FabiaÅ„ski,Swansea,32,GK,4,9.0,285,116,2.0,Poland,0,16,0,0,5
James McArthur,Crystal+Palace,29,CM,2,7.0,216,93,2.0,Scotland,0,6,0,0,4
